cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,placement_status,salary
7.397371322408986,1,Tier 2,Canada,100-300,2,53.574150031396115,64.1770623342739,Data Science,Consulting,5.481449845806263,Placed,104124.36783788815
6.889388559063052,0,Tier 3,UK,300+,1,60.687750044556374,88.34605151101644,Data Science,Consulting,4.6250993770765625,Placed,80586.83831262222
7.518150830480554,0,Tier 1,UK,100-300,2,64.56874987048333,69.49317116258237,Cybersecurity,Healthcare,5.2279386281759805,Placed,114444.3180966268
8.21842388512642,0,Tier 2,UK,100-300,3,73.46150014169774,78.20485411639238,AI/ML,Tech,5.150673764771964,Placed,120000.0
6.812677300221331,1,Tier 2,USA,100-300,4,86.51812057832834,44.68088106241429,Data Science,Consulting,3.8888243140973797,Placed,120000.0
6.812690434440656,0,Tier 1,Germany,300+,1,72.87642974052716,72.10249464633432,Core CS,Consulting,2.917126940970302,Not Placed,0.0
8.263370252405913,1,Tier 3,India,300+,2,61.938594386236275,71.83706817924204,Core CS,Manufacturing,3.366859764339363,Placed,37961.54539613216
7.6139477833223275,2,Tier 3,Canada,300+,1,50.04774635917131,68.58717209442507,AI/ML,Consulting,4.153429959767777,Not Placed,0.0
6.624420491252038,0,Tier 2,India,100-300,3,70.13397901028965,78.08772721825375,Cloud,Consulting,5.026075476889981,Placed,45794.429304396224
7.434048034868772,3,Tier 3,Germany,Top 100,2,89.74482741311338,57.892623733227765,Data Science,Other,3.137159368205172,Not Placed,0.0
6.62926584575003,1,Tier 2,USA,Top 100,2,64.2427866114618,73.08297386484615,Cloud,Healthcare,4.778924891916042,Placed,99717.52925972376
6.627416197143795,2,Tier 3,USA,100-300,2,70.689006991967,63.40593450144939,Data Science,Other,3.761611949966063,Not Placed,0.0
7.193569817252827,3,Tier 1,Germany,Top 100,3,86.67641935873844,85.7053658136009,Cloud,Manufacturing,2.551042299155627,Not Placed,0.0
5.469375804273762,3,Tier 1,Canada,100-300,3,46.17763264273984,57.28492923920147,Data Science,Manufacturing,3.5773458405381997,Not Placed,0.0
5.620065733989573,2,Tier 1,Germany,Top 100,3,68.46405012334303,74.07249778613271,AI/ML,Other,4.9410995428649676,Not Placed,0.0
6.550169976607222,2,Tier 2,USA,100-300,0,77.86078067759597,78.2987312252573,Cybersecurity,Consulting,3.918667452539628,Not Placed,0.0
6.189735103732461,1,Tier 1,USA,100-300,0,65.14670894592736,48.96862443246512,Data Science,Tech,6.973043920834743,Placed,120000.0
7.2513978660762195,2,Tier 1,India,100-300,1,71.73040648382448,59.522195428714994,Core CS,Other,6.010867530079504,Placed,52572.376643512645
6.273580739583031,0,Tier 3,Canada,300+,2,75.15539133364749,56.19491684543545,Data Science,Finance,6.363812564435154,Not Placed,0.0
5.870157038931767,1,Tier 3,Canada,100-300,2,76.01966060853039,84.96776025989575,Core CS,Tech,9.320751543885413,Placed,80329.95200421337
8.172519015137244,1,Tier 2,USA,300+,2,93.11875600377627,46.48934921750691,Data Science,Tech,4.493543238892658,Placed,120000.0
6.819378959610772,0,Tier 3,Germany,Top 100,0,66.81226110152862,57.571843574275405,AI/ML,Tech,2.7958123406927062,Placed,84909.08783758676
7.054022563750339,0,Tier 3,USA,100-300,0,75.21018503477102,56.993650920848765,Data Science,Consulting,3.838872315440471,Not Placed,0.0
5.860201451029234,3,Tier 2,India,300+,1,69.97659493563275,45.813404192640476,Cybersecurity,Manufacturing,4.757648346831359,Not Placed,0.0
6.5644938203798535,1,Tier 2,Germany,100-300,2,97.62886531921421,73.53209987679325,Cloud,Healthcare,5.457736568288827,Placed,84269.98552817258
7.088738071767893,6,Tier 3,USA,300+,1,73.487999072576,46.68341832010321,Core CS,Manufacturing,5.304661952909068,Not Placed,0.0
6.079205138062157,1,Tier 2,Canada,Top 100,1,78.85742416111182,71.63205949478085,Cloud,Consulting,4.052812413734922,Not Placed,0.0
7.300558414676537,1,Tier 1,India,100-300,1,79.11865761986627,78.05316174228008,Core CS,Manufacturing,5.71008995861846,Placed,56107.92841766937
6.519489048064956,0,Tier 2,USA,Top 100,2,60.51390149402755,49.51317165261643,Cybersecurity,Consulting,6.5686232797092945,Placed,106322.7660789254
6.766645000165378,0,Tier 2,USA,100-300,3,76.18131380488396,47.27914530073002,AI/ML,Tech,3.800984717515537,Placed,120000.0
6.5186347102164826,1,Tier 3,UK,300+,2,85.83847678868221,87.49725502631372,AI/ML,Finance,3.460430330601959,Placed,98003.22847777767
8.48182254760715,2,Tier 2,Germany,100-300,0,35.43104405583669,87.0970598367956,Core CS,Manufacturing,8.39088395964071,Not Placed,0.0
6.989202220209653,1,Tier 3,UK,Top 100,2,58.27827892706628,53.91168633822354,Data Science,Finance,3.308396629459727,Placed,85923.09925502952
6.1538312568352795,0,Tier 3,Canada,100-300,2,93.45774149798625,50.50551445313112,Cybersecurity,Other,6.016553589623208,Placed,66105.97583525395
7.658035929682551,1,Tier 2,Germany,300+,5,39.091042633676956,55.6281447321955,Cybersecurity,Finance,4.902389877454311,Placed,93810.33480359115
6.023325080023183,0,Tier 3,India,100-300,3,93.1775307144417,70.44522805446432,Cybersecurity,Finance,6.935880069682707,Placed,33094.82173942688
7.167090876003805,1,Tier 1,Germany,Top 100,5,63.55912961255349,53.29993643238064,Cloud,Consulting,4.6159315485910435,Not Placed,0.0
5.43226390089618,2,Tier 2,USA,Top 100,2,73.26853081295116,53.78322772743736,Cloud,Healthcare,5.1259315310617914,Not Placed,0.0
5.937451160881255,1,Tier 3,USA,100-300,2,81.9272795738582,75.28487414766747,Cybersecurity,Manufacturing,2.711137945669683,Not Placed,0.0
7.157488988695299,0,Tier 2,USA,100-300,2,77.54325721244665,50.569008856802284,Cybersecurity,Tech,4.03006393058491,Placed,117010.95394579711
7.590773263996328,0,Tier 3,Germany,300+,0,70.32292270729025,70.37443236460307,Cloud,Finance,5.546664192092838,Not Placed,0.0
7.137094624951977,2,Tier 1,USA,300+,2,65.4456564508142,60.41721452647887,Core CS,Consulting,4.041592784141551,Placed,118831.69603856995
6.907481374089407,1,Tier 3,USA,300+,0,63.62978904471232,77.43475990781255,Cloud,Healthcare,3.043357381835931,Not Placed,0.0
6.759117043528569,1,Tier 1,UK,100-300,1,46.47307757844267,100.0,Data Science,Healthcare,8.11427457986931,Placed,120000.0
5.817182407706058,2,Tier 2,USA,Top 100,0,82.34167642201213,44.441874817367065,Cybersecurity,Finance,4.614878164155686,Not Placed,0.0
6.424124633284233,2,Tier 2,UK,100-300,0,81.00650817928175,56.32508509429312,Core CS,Consulting,6.546186578049925,Not Placed,0.0
6.63148898323217,2,Tier 2,Canada,100-300,1,57.83303254122624,58.89136305154474,Core CS,Manufacturing,7.749656313282635,Placed,88509.47989666661
7.845697780975133,1,Tier 1,Germany,300+,2,67.06943441890238,58.15975278914904,Cloud,Healthcare,4.469635202874586,Placed,96668.61721636684
7.274894631654769,1,Tier 2,UK,Top 100,0,47.39750245389257,67.5162176691811,Core CS,Other,4.95449245883215,Placed,104814.50576749508
5.589567875709813,2,Tier 2,Germany,100-300,0,81.20316969364225,74.09698239511589,AI/ML,Healthcare,4.69223326061712,Not Placed,0.0
